date,mkt,smb,hml,mom
05-Jul-1963,0.0113355096637457,-0.00220242355520004,-0.0043092715880984,0.00697953852248681
12-Jul-1963,-0.00652121699026546,0.00399202126953746,-0.00491204436102064,-0.00142366517290511
19-Jul-1963,-0.0179603253769929,9.99950003332973e-05,0.00269636154774253,-0.00280489540780206
26-Jul-1963,0.000699755114273265,-0.0043092715880984,-0.00190180728959633,0.00337915753546404
02-Aug-1963,0.0102473164515495,-0.00702461493696447,9.99950003332973e-05,0.00798401939500804
09-Aug-1963,0.0170537545658276,-0.0087380659432853,0.00259662584726591,0.00859208028100049
16-Aug-1963,0.0138042809763971,-0.00451015547788602,0.010742096531902,0.00169085200046067
23-Aug-1963,0.00508703904855721,0.00598207167754747,-0.00270365157431482,-0.00191324894692722
30-Aug-1963,0.011137744410456,0.00139902091370741,0.00468898948613147,-0.00311981240327183
06-Sep-1963,0.00409161790325356,-0.000100005000333347,0.000999500333083423,-0.00260475610185377
13-Sep-1963,0.00329456694943011,-0.00180162194662821,0.00339423306801562,0.00409447344744697
20-Sep-1963,9.99950003332973e-05,-0.0043092715880984,0.00269636154774253,0.00747958321925352
27-Sep-1963,-0.017349638335113,0.00119928057548219,-0.00732677538646086,-0.00661877325703953
04-Oct-1963,0.00806737107775879,-0.00420884477405468,0.0124225199985571,0.00177475042377377
11-Oct-1963,-0.00772979806194127,0.0081665626663934,0.00399202126953746,-0.00461420414770216
18-Oct-1963,0.0132123314721349,-0.00200200267067308,-0.000100005000333347,0.0130640537190974
25-Oct-1963,0.00707491367196198,-0.000700245114393426,-0.0124775215111126,0.0100614187394336
01-Nov-1963,-0.00390762483101708,-0.00290421314738983,-0.00130084573304807,0.00507537341887363
08-Nov-1963,-0.00340579313483282,0,0.00697561373642514,-0.00652995264022576
15-Nov-1963,-0.0127813343647332,0.0112366319259878,-0.00240288461631031,-0.00622714029045314
22-Nov-1963,-0.0408219945202552,-0.0164343064634248,-0.0014009809156281,-0.0295123869502086
29-Nov-1963,0.0501226094032105,-0.00813298323018899,0.0133110140596724,0.0264146466967228
06-Dec-1963,0.00965325702813835,-0.00813298323018899,-0.000900405243164155,0.0104590211803363
13-Dec-1963,-0.000600180072032461,-0.0043092715880984,0.00169855663558151,0.00699105669331802
20-Dec-1963,-0.000300045009001992,-0.0157229604652362,0.00279608730200119,-0.00201461761637597
